Ort;Plz;Bundesland;lat;lng;km
Althornbach;66484;Rheinland-Pfalz;49,1998351;7,4693601;516
Althütte;71566;Baden-Württemberg;48,9319113;9,576713;515
Althüttendorf;16247;Brandenburg;52,9794582;13,7448595;254
Altjeßnitz;6800;Sachsen-Anhalt;51,6867172;12,3244636;258
Altkalen;17179;Mecklenburg-Vorpommern;53,9715501;12,7046761;181
Altkirchen;4626;Thüringen;50,8852891;12,3100885;334
Altkünkendorf;16278;Brandenburg;53,0425866;13,9842648;268
Altlandsberg;15345;Brandenburg;52,6251837;13,9108692;278
Altlay;56858;Rheinland-Pfalz;50,089428;7,2844044;429
Altleiningen;67317;Rheinland-Pfalz;49,496395;8,0730822;471
Altlewin;16259;Brandenburg;52,798072;14,015775;277
Altlüdersdorf;16775;Brandenburg;53,0563903;13,1082776;211
Altlußheim;68804;Baden-Württemberg;49,2991376;8,5039458;485
Altmachern;54492;Rheinland-Pfalz;49,9659483;7,019343;450
Altmädewitz;16259;Brandenburg;52,798072;14,015775;277
Altmannstein;93336;Bayern;48,8969537;11,6528283;529
Altmersleben;39624;Sachsen-Anhalt;52,6870681;11,4372016;133
Altmittweida;9648;Sachsen;50,970958;12,9761119;349
Altomünster;85250;Bayern;48,3886651;11,255097;580
Altona;19294;Mecklenburg-Vorpommern;53,2112093;11,4148066;98
Altottenhain;4643;Sachsen;51,0550708;12,6859531;330
Altötting;84503;Bayern;48,2212358;12,7451952;622
Altreetz;16259;Brandenburg;52,798072;14,015775;277
Altrich;54518;Rheinland-Pfalz;49,9522134;6,8181172;458
Altrip;67122;Rheinland-Pfalz;49,4314408;8,4949778;470
Alt-Schadow;15910;Brandenburg;51,9901384;13,7777914;305
Altscheid;54636;Rheinland-Pfalz;49,9978924;6,4962668;464
Altshausen;88361;Baden-Württemberg;47,9335571;9,5263469;626
Altstrimmig;56858;Rheinland-Pfalz;50,089428;7,2844044;429
Alt-Sührkow;17166;Mecklenburg-Vorpommern;53,7500146;12,5882333;169
Altthymen;16798;Brandenburg;53,1807088;13,1442831;209
Alttrebbin;16259;Brandenburg;52,798072;14,015775;277
Altusried;87452;Bayern;47,7965818;10,1875713;640
Altwarp;17375;Mecklenburg-Vorpommern;53,7153729;14,1598146;272
Altweidelbach;55469;Rheinland-Pfalz;49,9895078;7,5462508;432
Altwigshagen;17379;Mecklenburg-Vorpommern;53,6605031;13,8871991;253
Altwittenbek;24214;Schlewig-Holstein;54,4108044;9,978799;96
Altwustrow;16259;Brandenburg;52,798072;14,015775;277
Alveslohe;25486;Schlewig-Holstein;53,7897145;9,9147678;28
Alzenau;63755;Bayern;50,0866115;9,0719594;391
Alzey;55232;Rheinland-Pfalz;49,7459852;8,0997494;444
Am Jägerberg;21227;Niedersachsen;53,3362201;9,9734979;24
Am Quicken;82493;Bayern;47,4860799;11,2136541;679
Am Rainberge;34497;Hessen;51,2746166;8,8579248;266
Am Römerhof;61200;Hessen;50,4169669;8,8300606;358
Am Römerschacht;61200;Hessen;50,4169669;8,8300606;358
Am Rönndeich;21706;Niedersachsen;53,7068002;9,3786001;47
Am Rüdesheimer Hafen;65385;Hessen;50,0282244;7,8943206;419
Am Sandkopf;34127;Hessen;51,3330407;9,4909559;249
Am Sandweiher;66849;Rheinland-Pfalz;49,3981955;7,5602569;493
Am Springberg;76889;Rheinland-Pfalz;49,0898713;7,962041;517
Am Tekenberge;38350;Niedersachsen;52,2430058;11,0017167;159
Amalienfelde;16766;Brandenburg;52,7838106;13,0079984;215
Amberg;86854;Bayern;48,0613099;10,6819441;612
Amberg;92224;Bayern;49,442171;11,8377684;473
Amelinghausen;21385;Niedersachsen;53,1250195;10,2123868;49
Amerang;83123;Bayern;48,0025909;12,3056922;637
Amerdingen;86735;Bayern;48,7578305;10,4625341;534
Amesdorf;39439;Sachsen-Anhalt;51,7975334;11,6126844;222
Ammeldingen;54673;Rheinland-Pfalz;49,9955074;6,2324413;474
Ammeldingen;54675;Rheinland-Pfalz;49,9087381;6,3139234;480
Ammelstädt;7407;Thüringen;50,732817;11,3287072;325
Ammerbuch;72119;Baden-Württemberg;48,5605033;8,9722941;560
Ammern;99974;Thüringen;51,2374356;10,4511186;259
Ammerndorf;90614;Bayern;49,4210933;10,8529109;463
Ammersbek;22949;Schlewig-Holstein;53,6888482;10,1952121;18
Ammerthal;92260;Bayern;49,4406414;11,7625257;472
Amöneburg;35287;Hessen;50,7977381;8,9218552;316
Amorbach;63916;Bayern;49,6379059;9,1974139;439
Ampfing;84539;Bayern;48,2582056;12,4116939;611
Ampfurth;39387;Sachsen-Anhalt;52,0181945;11,2196086;188
Amsdorf;6317;Sachsen-Anhalt;51,4608293;11,6713282;257
Amselgraben;83329;Bayern;47,9440312;12,6999395;651
